"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Jun 04",,"2987.22","3989.93","513.54","175.88","1538.72",,"4712.50","1710.44","710.95",,"2071.40","328.66",,"1742.74","684.34","1058.40",,,"1058.40","526.30","19704.98",,,,"13.82",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Mar 04",,"2815.87","4102.35","320.20","400.42","2082.53",,"4325.24","2123.12","907.69",,"2365.32","1616.94",,"748.38","-124.08","872.46",,,"872.46","526.30","19704.98",,,,"13.53",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Dec 03",,"2843.95","3911.22","493.23","189.03","1121.91",,"4664.44","1452.00","642.61",,"1800.29","707.97",,"1092.32","172.88","919.44",,,"919.44","526.30","16677.08",,,,"14.74",,,,,,,,,,,,,,,"31.43","59.73",,,,,,,,,
"Sep 03",,"2758.58","3763.50","894.88","196.98","2655.07",,"5198.91","1525.57","683.62",,"2860.91","1511.58",,"1349.33","360.59","988.74",,,"988.74","526.30","16677.08",,,,"14.03",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Jun 03",,"2848.76","3938.44","791.08","191.98","1752.94",,"5085.57","1347.05","563.64",,"2526.94","791.58",,"1735.36","835.00","900.36",,,"900.36","526.30","16677.08",,,,"13.71",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Mar 03",,"2752.78","4073.47","709.72","484.70","2206.40",,"5253.31","1729.79","735.97",,"2508.00","1062.40",,"1445.60","708.05","737.55",,,"737.55","526.30","16677.08",,,,"13.50",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Dec 02",,"2817.21","3860.00","811.52","216.75","1361.44",,"5309.99","1385.54","498.78",,"1872.61","549.31",,"1323.30","536.25","787.05",,,"787.05","526.30","14698.08",,,,"14.13",,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 02",,"2846.42","3712.60","911.87","354.11","1137.91",,"5425.95","1292.59","565.54",,"1678.83","418.38",,"1260.45","443.25","817.20",,,"817.20","526.30","14698.08",,,,"13.99",,,,,,,,,,,,,,,"42.63","100.00",,,,,,,,,
"Jun 02",,"2812.70","3611.57","840.56","271.05","1034.50",,"5120.21","1280.80","453.41",,"1715.96","477.81",,"1238.15","474.95","763.20",,,"763.20","526.30","14698.08",,,,"13.19",,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 02",,"2615.72","3759.92","716.98","526.85","1420.62",,"5274.01","1345.89","632.05",,"1788.14","1033.99",,"754.15","138.46","615.69",,,"615.69","526.30","14698.08",,,,"13.35",,,,,,,,,,,,,,,"52.63","100.00",,,,,,,,,
"Dec 01",,"2815.53","3632.37","743.38","271.52","903.66",,"5194.42","1283.27","516.18",,"1372.59","383.27",,"989.32","375.43","613.89",,,"613.89","526.30","12935.24",,,,"13.17",,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 01",,"2778.13","3706.12","755.48","321.05","884.30",,"5263.74","1264.41","495.83",,"1421.10","465.29",,"955.81","333.55","622.26",,,"622.26","526.30","12935.24",,,,"13.40",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Jun 01",,"2854.03","3379.68","679.22","300.51","918.45",,"4995.62","1259.21","414.06",,"1463.00","462.69",,"1000.31","420.53","579.78",,,"579.78","526.30","12935.24",,,,"13.34",,,,,,,,,,,,,,,,,,,,,,,,,
