"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Sep 16",,"8386.18","2380.58","76.75","315.60","2539.66",,"6645.24","988.83","1964.52",,"4100.18","3622.74",,"477.44","158.36","319.08",,,"319.08","477.95",,,,,,,,"1.34","1.33",,"1.34","1.33",,"16378.65","7761.15","4.17","2.02","0.23",,,,,,,,,,,,
"Jun 16",,"8319.81","2436.28","57.59","300.22","2738.28",,"6596.98","963.18","1822.65",,"4469.37","2117.17",,"2352.20","796.67","1555.53",,,"1555.53","477.46",,,,,,,,"6.52","6.49",,"6.52","6.49",,"9553.17","4010.23","2.54","1.08","1.19",,,,,,,,,,,,
"Mar 16",,"8093.40","2420.80","63.84","320.92","2694.01",,"6346.37","907.88","1940.19",,"4398.53","1168.33",,"3230.20","1075.92","2154.28",,,"2154.28","476.57",,,,,,,,"9.05","9.01",,"9.05","9.01",,"6087.51","2522.14","1.67","0.70","1.68",,,,,,,,,,,,
"Dec 15",,"7529.37","2292.82","68.76","302.38","2337.78",,"6031.27","829.54","1685.24",,"3985.06","712.59",,"3272.47","1097.17","2175.30",,,"2175.30","475.78",,,,,,,,"9.15","9.09",,"9.15","9.09",,"5724.05","2514.09","1.68","0.75","1.79",,,,,,,,,,,,
"Sep 15",,"7344.01","2188.87","91.59","335.14","2041.40",,"5897.52","829.31","1646.23",,"3627.95","707.17",,"2920.78","1005.14","1915.64",,,"1915.64","475.59",,,,,,,,"8.06","8.00",,"8.06","8.00",,"4451.11","1543.62","1.38","0.48","1.64",,"158.35","66.59",,,,,,,"70.26","100.00","29.54"
"Jun 15",,"7073.78","2475.10","71.06","316.20","2298.27",,"5879.91","809.28","1453.15",,"4092.07","1121.77",,"2970.30","991.86","1978.44",,,"1978.44","475.06",,,,,,,,"8.34","8.27",,"8.34","8.27",,"4251.18","1461.29","1.38","0.48","1.78",,"159.12","66.99",,,,,,,"69.34","100.00","29.19"
"Mar 15",,"7024.65","2530.18","67.08","75.17","2687.31",,"5897.84","798.76","1674.91",,"4012.88","709.82",,"3303.06","1122.47","2180.59",,,"2180.59","474.10",,,,,,,,"9.22","9.13",,"9.22","9.13",,"4110.19","1316.71","1.34","0.44","1.96",,"162.03","68.35",,,,,,,"66.21","100.00","27.93"
"Dec 14",,"6501.92","2279.79","53.90","54.13","2039.07",,"5300.18","778.48","1535.55",,"3314.60",,,"3314.60","507.15","2807.45","-907.69",,"1899.76","472.65",,,,,,,,"8.05","7.98",,"8.05","7.98",,"3901.59","1250.67","1.34","0.44","1.86",,"160.82","68.05",,,,,,,"66.74","100.00","28.24"
"Sep 14",,"6255.94","2204.82","54.45","87.15","1947.61",,"5077.51","785.98","1524.18",,"3162.30",,,"3162.30","725.04","2437.26","-826.55",,"1610.71","471.93",,,,,,,,"6.83","6.78",,"6.83","6.78",,"3613.10","1179.80","1.34","0.44","1.69",,"159.07","67.41",,,,,,,"68.14","100.00","28.88"
"Jun 14",,"6085.31","2102.30","55.83","45.98","1691.05",,"4978.93","751.75","1354.13",,"2895.66","386.60",,"2509.06","842.30","1666.76",,,"1666.76","471.37",,,,,,,,"35.41","35.30",,"35.41","35.30",,"3463.27","1113.54","1.34","0.44","1.78",,"31.77","67.41",,,,,,,"13.75","100.00","29.17"
"Mar 14",,"5809.78","2074.91","48.93","31.61","2213.40",,"4799.48","659.25","1472.19",,"3247.71","505.23",,"2742.48","900.16","1842.32",,,"1842.32","469.84",,,,,,"16.97",,"39.25","39.16",,"39.25","39.16",,"3146.41","1024.62","1.22","0.40","2.01",,"31.57","67.20",,,,,,,"13.88","100.00","29.54"
"Dec 13",,"5557.25","2110.41","48.77","72.70","1644.42",,"4805.12","655.10","1358.30",,"2615.03","202.49",,"2412.54","808.43","1604.11",,,"1604.11","469.25",,,,,,"16.02",,"34.19","34.13",,"34.19","34.13",,"3008.20","1003.43","1.25","0.42","1.79",,"29.20","62.22",,,,,,,"15.90","100.00","33.88"
"Sep 13",,"5394.31","2142.53","34.98","37.17","1766.09",,"4672.32","643.92","1309.04",,"2749.80","687.49",,"2062.31","700.00","1362.31",,,"1362.31","469.19",,,,,,"16.35",,"29.04","28.97",,"29.04","28.97",,"2734.47","838.27","1.19","0.37","1.58",,"28.86","61.52",,,,,,,"15.92","100.00","33.94"
"Jun 13",,"5189.09","2015.28","34.11","39.33","1781.31",,"4412.60","643.08","1159.89",,"2843.55","712.25",,"2131.30","722.37","1408.93",,,"1408.93","468.85",,,,,,"16.37",,"30.07","29.94",,"30.07","29.94",,"2489.68","789.74","1.10","0.35","1.73",,"27.19","57.99",,,,,,,"15.91","100.00","33.92"
"Mar 13",,"4898.77","2029.73","41.65","77.40","2007.17",,"4382.89","601.42","1270.71",,"2799.70","595.35",,"2204.35","649.20","1555.15",,,"1555.15","467.95",,,,,,"17.00",,"34.39","34.19",,"34.39","34.19",,"2393.42","704.13","1.06","0.32","1.94",,"27.12","57.96",,,,,,,"15.85","100.00","33.88"
"Dec 12",,"4906.65","2014.33","24.67","19.28","1615.37",,"4470.12","615.05","1133.62",,"2361.51","386.83",,"1974.68","627.46","1347.22",,,"1347.22","427.16",,,,,"13.73",,,"31.56","31.42",,"31.56","31.42",,"2275.30","678.70","1.10","0.33","1.71",,"23.77","55.64",,,,,,,"15.18","100.00","35.53"
"Sep 12",,"4736.27","1896.60","22.02","32.34","1593.06",,"4360.30","577.90","1163.83",,"2178.26","509.42",,"1668.84","545.30","1123.54",,,"1123.54","414.53",,,,,"12.99",,,"27.11","27.00",,"27.11","27.00",,"2191.01","654.24","1.10","0.33","1.50",,"22.30","53.80",,,,,,,"15.44","100.00","37.25"
"Jun 12",,"4624.54","1806.32","22.92","29.08","1335.51",,"4303.00","582.61","969.10",,"1963.66","258.84",,"1704.82","551.30","1153.52",,,"1153.52","414.29",,,,,,"13.03",,"27.88","27.73",,"27.88","27.73",,"2091.72","604.90","1.06","0.31","1.62",,"22.47","54.24",,,,,,,"15.45","100.00","37.30"
"Mar 12",,"4257.87","1737.56","23.88","41.01","1587.62",,"3914.23","529.55","1166.61",,"2037.55","139.28",,"1898.27","621.00","1277.27",,,"1277.27","413.20",,,,,,"13.66",,"30.94","30.75",,"30.94","30.75",,"1806.30","472.64","0.94","0.25","1.88",,"22.35","54.08",,,,,,,"15.44","100.00","37.38"
"Dec 11",,"3963.56","1775.23","15.47","22.70","1429.81",,"3636.66","542.04","968.87",,"2059.20","422.33",,"1636.87","534.60","1102.27",,,"1102.27","412.57",,,,,"11.78",,,"26.73","26.53",,"26.73","26.53",,"1914.51","682.93","1.10","0.39","1.68",,"22.13","53.63",,,,,,,"15.49","100.00","37.55"
"Sep 11",,"3687.82","1548.64","11.17","28.34","1234.92",,"3268.71","498.62","967.92",,"1775.64","405.58",,"1370.06","449.74","920.32",,,"920.32","412.33",,,,,"11.35",,,"22.33","22.13",,"22.33","22.13",,"1743.80","548.77","1.08","0.34","1.52",,"21.47","52.07",,,,,,,"15.34","100.00","37.21"
"Jun 11",,"3470.10","1332.84","47.91","30.55","1167.87",,"3157.30","509.96","823.53",,"1558.48","175.84",,"1382.64","440.29","942.35",,,"942.35","411.88",,,,,,"12.53",,"22.92","22.67",,"22.92","22.67",,"1573.13","462.47","1.06","0.31","1.61",,"21.78","52.87",,,,,,,"15.30","100.00","37.15"
"Mar 11",,"3062.64","1213.06","63.59","27.37","1450.40",,"2665.66","396.02","934.57",,"1820.81","254.39",,"1566.42","546.31","1020.11",,,"1020.11","410.55",,,,,,"12.65",,"24.87","24.54",,"24.87","24.54",,"1599.42","410.35","1.01","0.26","1.81",,"22.35","54.08",,,,,,,"15.44","100.00","37.38"
"Dec 10",,"2600.55","1166.83","48.18","22.75","1147.71",,"2105.19","396.16","826.19",,"1658.48","313.88",,"1344.60","453.24","891.36",,,"891.36","409.90",,,,,,"12.46",,"21.77","21.44",,"21.77","21.44",,"1482.89","385.54","1.09","0.29","1.75",,"21.98","53.63",,,,,,,"15.31","100.00","37.35"
"Sep 10",,"2429.03","1123.54","38.37","33.31","1033.24",,"2009.15","405.30","756.69",,"1486.35","378.76",,"1107.59","372.45","735.14",,,"735.14","408.84",,,,,"13.68",,,"18.01","17.72",,"18.01","17.72",,"1362.36","409.35","1.12","0.34","1.50",,"22.00","53.82",,,,,,,"15.33","100.00","37.51"
"Jun 10",,"2310.89","935.26","32.48","46.96","1000.78",,"1811.82","416.42","648.08",,"1450.05","333.00",,"1117.05","375.17","741.88",,,"741.88","407.44",,,,,"14.54",,,,,,,,,,,,,,,"22.21","54.51",,,,,,,,,
"Mar 10",,"2074.97","856.01","27.20","30.27","933.54",,"1528.38","333.75","676.05",,"1383.81","201.87",,"1181.94","417.07","764.87",,,"764.87","405.17",,,,,"15.80",,,,,,,,,,,,,,,"21.51","53.10",,,,,,,,,
"Dec 09",,"1987.88","845.43","27.35","22.99","988.09",,"1534.54","308.54","654.03",,"1374.63","373.14",,"1001.49","345.51","655.98",,,"655.98","403.63",,,,,"16.80",,,,,,,,,,,,,,,"21.68","53.71",,,,,,,,,
"Sep 09",,"1950.19","859.56","30.02","20.59","1065.58",,"1710.68","304.20","605.31",,"1305.75","498.89",,"806.86","275.22","531.64",,,"531.64","401.95",,,,,"16.47",,,,,,,,,,,,,,,"21.40","53.23",,,,,,,,,
"Jun 09",,"1973.56","867.31","35.43","29.26","958.57",,"1859.93","309.33","518.51",,"1176.36","315.29",,"861.07","299.03","562.04",,,"562.04","359.76",,,,,"15.28",,,,,,,,,,,,,,,"18.09","50.27",,,,,,,,,
"Mar 09",,"2053.63","886.79","49.00","49.80","845.51",,"2006.62","257.51","482.10",,"1138.50","255.19",,"883.31","301.86","581.45",,,"581.45","359.01",,,,,"13.69",,,,,,,,,,,,,,,"17.89","49.84",,,,,,,,,
"Dec 08",,"2095.78","806.18","56.44","26.37","732.17",,"2055.09","266.07","486.15",,"909.63","131.98",,"777.65","276.79","500.86",,,"500.86","358.98",,,,,"13.84",,,,,,,,,,,,,,,"17.87","49.79",,,,,,,,,
"Sep 08",,"1767.23","705.69","54.00","18.13","694.40",,"1631.58","260.40","473.04",,"874.43","255.78",,"618.65","215.74","402.91",,,"402.91","358.89",,,,,"12.20",,,,,,,,,,,,,,,"19.10","53.23",,,,,,,,,
"Jun 08",,"1549.22","652.84","50.75","13.63","624.80",,"1455.98","213.68","419.26",,"802.32","296.73",,"505.59","175.45","330.14",,,"330.14","358.56",,,,,"13.25",,,,,,,,,,,,,,,"19.28","53.76",,,,,,,,,
"Mar 08",,"1370.09","592.73","37.56","15.05","556.47",,"1187.00","184.45","477.61",,"722.84","164.22",,"558.62","197.22","361.40",,,"361.40","357.71",,,,,"13.73",,,,,,,,,,,,,,,"19.26","53.84",,,,,,,,,
"Dec 07",,"1229.72","534.94","27.37","10.31","487.90",,"1055.00","173.48","389.48",,"672.28","200.05",,"472.23","165.40","306.83",,,"306.83","357.37",,,,,"16.88",,,,,,,,,,,,,,,"18.37","51.41",,,,,,,,,
"Sep 07",,"1133.43","508.64","23.35","11.07","382.88",,"1087.82","164.42","344.27",,"462.86","114.46",,"348.40","120.58","227.82",,,"227.82","356.51",,,,,"17.59",,,,,,,,,,,,,,,"18.06","50.67",,,,,,,,,
"Jun 07",,"1012.41","491.92","19.36","13.28","342.32",,"1090.14","147.90","273.31",,"367.94","100.91",,"267.03","92.05","174.98",,,"174.98","282.65",,,,,"11.50",,,,,,,,,,,,,,,"15.12","53.48",,,,,,,,,
"Mar 07",,"836.21","482.16","34.71","13.69","301.10",,"902.54","88.93","254.10",,"422.30","106.51",,"315.79","103.90","211.89",,,"211.89","281.63",,,,,"11.57",,,,,,,,,,,,,,,"14.82","52.64",,,,,,,,,
"Dec 06",,"705.30","457.28","13.51","13.53","279.74",,"773.78","114.66","222.29",,"358.63","76.28",,"282.35","97.74","184.61",,,"184.61","281.19",,,,,"11.83",,,,,,,,,,,,,,,"14.76","52.50",,,,,,,,,
"Sep 06",,"611.00","416.49","12.64","9.96","204.77",,"684.92","98.07","197.38",,"274.49","58.76",,"215.73","73.75","141.98",,,"141.98","280.51",,,,,"11.52",,,,,,,,,,,,,,,"20.33","72.46",,,,,,,,,
"Jun 06",,"550.34","375.54","16.44","11.60","224.50",,"632.08","79.69","159.47",,"307.18","124.81",,"182.37","61.82","120.55",,,"120.55","280.13",,,,,"10.28",,,,,,,,,,,,,,,"20.29","72.43",,,,,,,,,
"Mar 06",,"459.64","344.44","13.45","15.12","228.07",,"519.79","62.47","180.41",,"298.05","68.16",,"229.89","78.16","151.73",,,"151.73","278.69",,,,,"11.08",,,,,,,,,,,,,,,"20.14","72.28",,,,,,,,,
"Dec 05",,"393.19","335.84","11.10","6.57","173.42",,"459.26","62.23","142.43",,"256.20","59.20",,"197.00","65.29","131.71",,,"131.71","278.57",,,,,"11.58",,,,,,,,,,,,,,,"20.13","72.27",,,,,,,,,
"Sep 05",,"354.06","319.40","8.48","5.66","178.13",,"432.15","62.32","135.18",,"236.08","71.62",,"164.46","55.45","109.01",,,"109.01","278.46",,,,,"11.77",,,,,,,,,,,,,,,"20.12","72.26",,,,,,,,,
"Jun 05",,"321.15","275.08","8.61","17.00","150.01",,"399.36","53.18","115.83",,"203.48","63.54",,"139.94","47.31","92.63",,,"92.63","278.12",,,,,"11.74",,,,,,,,,,,,,,,"20.09","72.23",,,,,,,,,
"Mar 05",,"286.66","238.38","7.57","23.44","166.37",,"359.76","46.75","115.96",,"199.95","24.26",,"175.69","59.15","116.54",,,"116.54","273.80",,,,,"12.66",,,,,,,,,,,,,,,"19.66","71.79",,,,,,,,,
"Dec 04",,"244.80","214.23","6.53","25.69","142.96",,"304.22","49.93","100.61",,"179.45","31.73",,"147.72","46.57","101.15",,,"101.15","232.82",,,,,"9.38",,,,,,,,,,,,,,,"15.56","66.82",,,,,,,,,
"Sep 04",,"227.06","174.60","9.32","38.33","-3.59",,"268.59","41.38","97.36",,"38.39","-34.78",,"73.17","26.95","46.22",,,"46.22","232.56",,,,,"10.67",,,,,,,,,,,,,,,"15.53","66.78",,,,,,,,,
"Jun 04",,"220.25","157.52","8.62","39.02","110.08",,"260.41","38.79","90.60",,"145.69","38.57",,"107.12","36.45","70.67",,,"70.67","232.30",,,,,"11.11",,,,,,,,,,,,,,,"15.51","66.75",,,,,,,,,
"Mar 04",,"205.82","164.94","7.35","35.66","102.46",,"247.37","35.36","89.63",,"143.87","32.58",,"111.29","24.20","87.09",,,"87.09","231.58",,,,,"11.21",,,,,,,,,,,,,,,"15.43","66.65",,,,,,,,,
"Dec 03",,"194.93","150.19","6.76","38.61","137.61",,"244.35","32.59","73.14",,"178.02","65.52",,"112.50","37.64","74.86",,,"74.86","231.00",,,,,"11.20",,,,,,,,,,,,,,,"15.38","66.56",,,,,,,,,
"Sep 03",,"182.59","165.26","8.90","37.22","149.82",,"255.99","27.62","79.17",,"181.01","72.44",,"108.57","44.39","64.18",,,"64.18","230.82",,,,,"11.24",,,,,,,,,,,,,,,"15.36","66.54",,,,,,,,,
"Jun 03",,"184.18","163.97","9.94","35.85","150.26",,"273.74","25.68","56.02",,"188.76","91.71",,"97.05","44.87","52.18",,,"52.18","230.29",,,,,"10.71",,,,,,,,,,,,,,,"15.30","66.46",,,,,,,,,
"Mar 03",,"192.38","160.67","6.96","36.48","119.71",,"286.51","27.50","76.21",,"125.98","30.57",,"95.41","34.88","60.53",,,"60.53","230.19",,,,,,,,,,,,,,,,,,,,"15.29","66.44",,,,,,,,,
"Dec 02",,"193.32","149.22","7.56","26.80","112.53",,"285.40","20.20","57.71",,"126.12","45.69",,"80.43","28.93","51.50",,,"51.50","191.81",,,,,"9.84",,,,,,,,,,,,,,,"11.18","58.29",,,,,,,,,
"Sep 02",,"189.77","137.61","9.71","26.20","118.37",,"295.95","21.26","59.02",,"105.43","37.80",,"67.63","23.46","44.17",,,"44.17","191.81",,,,,"9.66",,,,,,,,,,,,,,,"11.18","58.29",,,,,,,,,
"Jun 02",,"160.67","132.54","12.59","26.14","59.86",,"274.55","15.82","44.55",,"56.88","-0.85",,"57.73","21.75","35.98",,,"35.98","191.88",,,,,"9.29",,,,,,,,,,,,,,,"11.18","58.29",,,,,,,,,
"Mar 02",,"163.77","155.74","7.74","21.98","118.52",,"267.86","19.88","46.98",,"133.03","73.42",,"59.61","17.55","42.06",,,"42.06","191.81",,,,,,,,,,,,,,,,,,,,"11.18","58.29",,,,,,,,,
"Dec 01",,"131.09","134.79","7.41","16.45","104.30",,"238.88","11.55","37.72",,"105.89","47.51",,"58.38","22.62","35.76",,,"35.76","178.25",,,,,,,,,,,,,,,,,,,,"9.83","55.12",,,,,,,,,
"Sep 01",,"119.03","132.63","7.33","15.11","92.15",,"234.50","7.95","39.69",,"84.11","32.75",,"51.36","20.41","30.95",,,"30.95","131.90",,,,,,,,,,,,,,,,,,,,"5.19","39.35",,,,,,,,,
"Jun 01",,"125.68","130.30","8.09","2.31","100.90",,"238.76","9.55","33.08",,"85.89","41.87",,"44.02","18.65","25.37",,,"25.37","131.90",,,,,"7.93",,,,,,,,,,,,,,,"5.19","39.35",,,,,,,,,
"Mar 01",,"137.74","107.21","27.06","0.64","76.08",,"244.88","8.22","37.17",,"58.46","19.01",,"39.45","11.53","27.92",,,"27.92","131.90",,,,,,,,,,,,,,,,,,,,"5.19","39.35",,,,,,,,,
"Dec 00",,"124.95","92.18","10.38","10.04","28.30",,"204.81","7.22","24.31",,"29.51","2.91",,"26.60","3.57","23.03",,,"23.03","131.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 00",,"108.18","76.58","14.19","11.65","28.87",,"189.17",,"26.99",,"23.31","6.27",,"17.04","-2.04","19.08",,,"19.08","131.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 00",,"102.74","58.25","1.63","6.20","29.75",,"152.50","6.69","18.16",,"21.22","0.24",,"20.98","4.89","16.09",,,"16.09","131.90",,,,,"10.09",,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 00",,,,,"146.28","42.46",,,,"130.01","3.26","55.47","19.67",,"35.80","8.38","27.42",,,"27.42","131.90","74.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 99",,,,,,"14.44",,"92.51",,"12.48","2.75",,"12.72",,,,,,,"9.87","131.90","74.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 99",,,,,,"17.37",,"94.54",,"12.72","2.71",,"5.91",,,"7.65",,,,"7.39","131.90","74.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 99",,,,,,"16.90",,"92.05",,"15.23",,,,,,,,,,"17.16","131.90","74.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 99",,,,,,"15.15",,,,"98.05","2.85",,,,,,,,,"22.28","131.90","74.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 98",,,,,,"12.88",,"69.17",,"9.69","2.46",,"14.23",,,,,,,"8.11","131.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 98",,,,,,"11.02",,"66.82",,"12.78",,,,,,,,,,"16.81","115.00","44.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 98",,,,,,"7.58",,"78.20",,"11.64",,,,,,,,,,"6.82","115.00","44.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
