,KOTAKBANK.NS.Close,,SBIN.NS.Close,,AXISBANK.NS.Adjusted,,HDFCBANK.NS.Close
12/12/2011,242.25,13/12/2011,178.785004,2011-12-13,152.005783,13/12/2011,438.399994
13/12/2011,243.199997,14/12/2011,178.514999,2011-12-14,151.886993,14/12/2011,434.350006
14/12/2011,244.100006,15/12/2011,173.679993,2011-12-15,150.295547,15/12/2011,431.350006
15/12/2011,241.75,16/12/2011,167.910004,2011-12-16,143.161621,16/12/2011,415.299988
16/12/2011,240.774994,19/12/2011,162.809998,2011-12-19,134.452026,19/12/2011,406
19/12/2011,233.875,20/12/2011,157.850006,2011-12-20,129.899307,20/12/2011,414.200012
20/12/2011,222.524994,21/12/2011,162.350006,2011-12-21,135.283401,21/12/2011,435.450012
21/12/2011,232.375,22/12/2011,167.110001,2011-12-22,138.34758,22/12/2011,442.850006
22/12/2011,231.274994,23/12/2011,164.744995,2011-12-23,139.34523,23/12/2011,437.549988
23/12/2011,228.524994,26/12/2011,166.565002,2011-12-26,138.086304,26/12/2011,443.700012
26/12/2011,231.675003,27/12/2011,164.365005,2011-12-27,133.850296,27/12/2011,439.700012
27/12/2011,226.300003,28/12/2011,161.020004,2011-12-28,131.847092,28/12/2011,439.799988
28/12/2011,227.149994,29/12/2011,162.884995,2011-12-29,129.14711,29/12/2011,429.600006
29/12/2011,222.975006,30/12/2011,161.904999,2011-12-30,127.967361,30/12/2011,426.850006
30/12/2011,215.274994,02/01/2012,162.764999,2012-01-02,125.861229,02/01/2012,426.850006
02/01/2012,210.875,03/01/2012,170.565002,2012-01-03,132.630936,03/01/2012,439.149994
03/01/2012,224.975006,04/01/2012,169.604996,2012-01-04,134.309509,04/01/2012,443.299988
04/01/2012,219.675003,05/01/2012,169.244995,2012-01-05,137.872543,05/01/2012,443.649994
05/01/2012,222.725006,06/01/2012,167.274994,2012-01-06,135.156708,06/01/2012,453.299988
06/01/2012,226.975006,09/01/2012,163.725006,2012-01-09,135.900986,09/01/2012,455.700012
09/01/2012,226.600006,10/01/2012,170.259995,2012-01-10,141.688889,10/01/2012,459.700012
10/01/2012,233.25,11/01/2012,172.695007,2012-01-11,147.848938,11/01/2012,462.649994
11/01/2012,232.625,12/01/2012,176.440002,2012-01-12,148.933685,12/01/2012,466.649994
12/01/2012,233.625,13/01/2012,177.610001,2012-01-13,148.807007,13/01/2012,469.600006
13/01/2012,236.274994,16/01/2012,181.639999,2012-01-16,148.102325,16/01/2012,460.5
16/01/2012,230.675003,17/01/2012,184.399994,2012-01-17,152.37793,17/01/2012,468.399994
17/01/2012,238.399994,18/01/2012,186.535004,2012-01-18,147.785583,18/01/2012,481.899994
18/01/2012,231.324997,19/01/2012,188.429993,2012-01-19,151.237762,19/01/2012,486.799988
19/01/2012,237.149994,20/01/2012,193.285004,2012-01-20,159.788986,20/01/2012,490.549988
20/01/2012,247.149994,23/01/2012,194.050003,2012-01-23,157.872864,23/01/2012,484
23/01/2012,238.649994,24/01/2012,204.080002,2012-01-24,163.518265,24/01/2012,488.799988
24/01/2012,247.899994,25/01/2012,205.800003,2012-01-25,168.435211,25/01/2012,490.200012
25/01/2012,247.774994,27/01/2012,204.059998,2012-01-27,169.923752,27/01/2012,484.200012
27/01/2012,246.475006,30/01/2012,198.524994,2012-01-30,162.06929,30/01/2012,479.049988
30/01/2012,239.199997,31/01/2012,206.160004,2012-01-31,170.240448,31/01/2012,492.100006
31/01/2012,249.175003,01/02/2012,207.764999,2012-02-01,172.307007,01/02/2012,497.149994
01/02/2012,255.475006,02/02/2012,207.259995,2012-02-02,170.375061,02/02/2012,497.899994
02/02/2012,255.524994,03/02/2012,210.315002,2012-02-03,174.088501,03/02/2012,506.25
03/02/2012,259.350006,06/02/2012,216.264999,2012-02-06,175.782913,06/02/2012,507.700012
06/02/2012,260.149994,07/02/2012,215.309998,2012-02-07,176.345078,07/02/2012,509.299988
07/02/2012,267.75,08/02/2012,217.774994,2012-02-08,178.498734,08/02/2012,508.450012
08/02/2012,266.600006,09/02/2012,218.399994,2012-02-09,179.654709,09/02/2012,522.549988
09/02/2012,275.575012,10/02/2012,217.190002,2012-02-10,177.049774,10/02/2012,517.5
10/02/2012,273.350006,13/02/2012,212.925003,2012-02-13,176.780563,13/02/2012,521.950012
13/02/2012,283.375,14/02/2012,220.014999,2012-02-14,178.886673,14/02/2012,517.900024
14/02/2012,279.924988,15/02/2012,225.065002,2012-02-15,193.352509,15/02/2012,533.049988
15/02/2012,286.875,16/02/2012,235.035004,2012-02-16,193.875076,16/02/2012,526.450012
16/02/2012,287.25,17/02/2012,241.705002,2012-02-17,202.410446,17/02/2012,528.299988
17/02/2012,288.049988,21/02/2012,245.244995,2012-02-21,203.898987,21/02/2012,532.049988
21/02/2012,288.200012,22/02/2012,225.5,2012-02-22,192.568634,22/02/2012,531.450012
22/02/2012,283.700012,23/02/2012,226.050003,2012-02-23,192.829926,23/02/2012,533.150024
23/02/2012,283.725006,24/02/2012,220.559998,2012-02-24,187.406235,24/02/2012,524.650024
24/02/2012,275.774994,27/02/2012,212.285004,2012-02-27,176.487595,27/02/2012,515.599976
27/02/2012,271.625,28/02/2012,223.125,2012-02-28,185.363449,28/02/2012,530.5
28/02/2012,275.600006,29/02/2012,224.755005,2012-02-29,186.503601,29/02/2012,517.099976
29/02/2012,273.875,01/03/2012,221.875,2012-03-01,182.568481,01/03/2012,514
01/03/2012,277.399994,02/03/2012,224.669998,2012-03-02,184.74585,02/03/2012,518.75
02/03/2012,282.75,05/03/2012,217.604996,2012-03-05,182.109222,05/03/2012,510.950012
05/03/2012,279.350006,06/03/2012,214.785004,2012-03-06,181.713348,06/03/2012,507.399994
06/03/2012,275.325012,07/03/2012,214.154999,2012-03-07,184.460815,07/03/2012,515.650024
07/03/2012,276.075012,09/03/2012,222.639999,2012-03-09,192.148987,09/03/2012,523.200012
09/03/2012,279.225006,12/03/2012,231.080002,2012-03-12,193.985916,12/03/2012,518.950012
12/03/2012,280.924988,13/03/2012,232.75,2012-03-13,196.456268,13/03/2012,524.400024
13/03/2012,284.725006,14/03/2012,235.479996,2012-03-14,201.753265,14/03/2012,528.200012
14/03/2012,286.174988,15/03/2012,229.929993,2012-03-15,196.741318,15/03/2012,510.799988
15/03/2012,279.399994,16/03/2012,222.789993,2012-03-16,192.592392,16/03/2012,507.850006
16/03/2012,269.575012,19/03/2012,215.755005,2012-03-19,189.860764,19/03/2012,498.850006
19/03/2012,265.75,20/03/2012,218.735001,2012-03-20,187.865479,20/03/2012,505.399994
20/03/2012,269.399994,21/03/2012,223.285004,2012-03-21,194.579742,21/03/2012,515.650024
21/03/2012,272.424988,22/03/2012,216.059998,2012-03-22,186.305679,22/03/2012,504.25
22/03/2012,258.825012,23/03/2012,216.675003,2012-03-23,186.756973,23/03/2012,513.950012
23/03/2012,262.799988,26/03/2012,211.744995,2012-03-26,178.174088,26/03/2012,511.649994
26/03/2012,265.575012,27/03/2012,212.914993,2012-03-27,180.763199,27/03/2012,518.849976
27/03/2012,269.649994,28/03/2012,207.925003,2012-03-28,176.661774,28/03/2012,513.450012
28/03/2012,260.575012,29/03/2012,206.134995,2012-03-29,177.683182,29/03/2012,510.100006
29/03/2012,262.299988,30/03/2012,209.634995,2012-03-30,181.507477,30/03/2012,519.849976
30/03/2012,272.674988,02/04/2012,213.039993,2012-04-02,182.869339,02/04/2012,528.349976
02/04/2012,278,03/04/2012,217.255005,2012-04-03,186.194809,03/04/2012,530.200012
03/04/2012,279.725006,04/04/2012,216.255005,2012-04-04,184.74585,04/04/2012,526.549988
04/04/2012,275.450012,09/04/2012,210.044998,2012-04-09,181.467896,09/04/2012,521.75
09/04/2012,267,10/04/2012,215.119995,2012-04-10,182.671402,10/04/2012,524.849976
10/04/2012,273.524994,11/04/2012,215.854996,2012-04-11,183.281067,11/04/2012,526.450012
11/04/2012,279.174988,12/04/2012,222.755005,2012-04-12,189.472778,12/04/2012,530.400024
12/04/2012,283.75,13/04/2012,221.229996,2012-04-13,184.033264,13/04/2012,529.349976
13/04/2012,290.75,16/04/2012,226.509995,2012-04-16,189.528198,16/04/2012,529.75
16/04/2012,291.950012,17/04/2012,230.429993,2012-04-17,191.871887,17/04/2012,530.25
17/04/2012,291.049988,18/04/2012,229.175003,2012-04-18,189.441101,18/04/2012,537.650024
18/04/2012,289.799988,19/04/2012,226.904999,2012-04-19,189.322342,19/04/2012,554.049988
19/04/2012,297.274994,20/04/2012,226.044998,2012-04-20,186.408585,20/04/2012,551.099976
20/04/2012,296.049988,23/04/2012,219.320007,2012-04-23,179.646805,23/04/2012,545.349976
23/04/2012,290.475006,24/04/2012,219.070007,2012-04-24,176.392593,24/04/2012,541.849976
24/04/2012,284.825012,25/04/2012,217.175003,2012-04-25,173.360077,25/04/2012,546.650024
25/04/2012,282.575012,26/04/2012,216.235001,2012-04-26,172.077408,26/04/2012,540.5
26/04/2012,291.424988,27/04/2012,212.550003,2012-04-27,174.824875,27/04/2012,541.150024
27/04/2012,291.575012,30/04/2012,213.809998,2012-04-30,175.292007,30/04/2012,542.5
30/04/2012,291.399994,02/05/2012,214.059998,2012-05-02,174.7061,02/05/2012,549.900024
02/05/2012,293.299988,03/05/2012,208.410004,2012-05-03,167.587997,03/05/2012,554.049988
03/05/2012,291.075012,04/05/2012,199.625,2012-05-04,159.899811,04/05/2012,537.5
04/05/2012,282.024994,07/05/2012,202.820007,2012-05-07,161.926773,07/05/2012,532.25
07/05/2012,288.549988,08/05/2012,195.535004,2012-05-08,155.735062,08/05/2012,515.349976
08/05/2012,277.75,09/05/2012,188.309998,2012-05-09,152.203735,09/05/2012,512.650024
09/05/2012,266.774994,10/05/2012,184.315002,2012-05-10,155.386688,10/05/2012,517.5
10/05/2012,270.825012,11/05/2012,185.360001,2012-05-11,158.387512,11/05/2012,510.549988
11/05/2012,271.075012,14/05/2012,183.975006,2012-05-14,157.983719,14/05/2012,500.549988
14/05/2012,270.5,15/05/2012,186.039993,2012-05-15,157.342392,15/05/2012,499.100006
15/05/2012,272.225006,16/05/2012,182.770004,2012-05-16,153.826859,16/05/2012,495.200012
16/05/2012,276.600006,17/05/2012,184.835007,2012-05-17,150.643921,17/05/2012,497.799988
17/05/2012,271.200012,18/05/2012,194.054993,2012-05-18,150.343048,18/05/2012,500.549988
18/05/2012,275.549988,21/05/2012,200.949997,2012-05-21,152.53627,21/05/2012,497.450012
21/05/2012,281.850006,22/05/2012,193.875,2012-05-22,152.900497,22/05/2012,489.25
22/05/2012,275.575012,23/05/2012,195.5,2012-05-23,152.567963,23/05/2012,487.200012
23/05/2012,266.399994,24/05/2012,196.615005,2012-05-24,158.007477,24/05/2012,499.700012
24/05/2012,272.549988,25/05/2012,200.690002,2012-05-25,158.419189,25/05/2012,500
25/05/2012,272.075012,28/05/2012,210.130005,2012-05-28,163.01152,28/05/2012,508.75
28/05/2012,277.424988,29/05/2012,212.014999,2012-05-29,162.156387,29/05/2012,504.950012
29/05/2012,279.725006,30/05/2012,209.820007,2012-05-30,158.482529,30/05/2012,500.649994
30/05/2012,275.774994,31/05/2012,205.604996,2012-05-31,153.755615,31/05/2012,506.200012
31/05/2012,281.75,01/06/2012,202.824997,2012-06-01,152.742157,01/06/2012,490.399994
01/06/2012,271.524994,04/06/2012,204.585007,2012-06-04,156.455582,04/06/2012,495.649994
04/06/2012,273.575012,05/06/2012,208.274994,2012-06-05,156.716873,05/06/2012,501.5
05/06/2012,274.075012,06/06/2012,215.824997,2012-06-06,161.578415,06/06/2012,519.900024
06/06/2012,283.725006,07/06/2012,216.794998,2012-06-07,167.39798,07/06/2012,537.799988
07/06/2012,282.649994,08/06/2012,217.945007,2012-06-08,166.17865,08/06/2012,539.099976
08/06/2012,287.049988,11/06/2012,216.479996,2012-06-11,164.191254,11/06/2012,541.950012
11/06/2012,288.424988,12/06/2012,220.615005,2012-06-12,167.477158,12/06/2012,549.599976
12/06/2012,293.299988,13/06/2012,222.604996,2012-06-13,165.426453,13/06/2012,541.75
13/06/2012,292.875,14/06/2012,215.024994,2012-06-14,173.726486,14/06/2012,534.400024
14/06/2012,284.100006,15/06/2012,218.309998,2012-06-15,177.070511,15/06/2012,547.549988
15/06/2012,290.549988,18/06/2012,208.794998,2012-06-18,171.514282,18/06/2012,534.950012
18/06/2012,284.625,19/06/2012,210.065002,2012-06-19,171.754364,19/06/2012,536.450012
19/06/2012,282.825012,20/06/2012,211.705002,2012-06-20,171.617157,20/06/2012,534.200012
20/06/2012,284.475006,21/06/2012,217.835007,2012-06-21,175.852936,21/06/2012,542.900024
21/06/2012,288.549988,22/06/2012,215.779999,2012-06-22,173.940842,22/06/2012,544.349976
22/06/2012,292.524994,25/06/2012,211.5,2012-06-25,173.59787,25/06/2012,536.700012
25/06/2012,286.149994,26/06/2012,211.309998,2012-06-26,171.960159,26/06/2012,543.450012
26/06/2012,290.225006,27/06/2012,211.339996,2012-06-27,171.651474,27/06/2012,549
27/06/2012,285.350006,28/06/2012,209.830002,2012-06-28,167.818695,28/06/2012,548.5
28/06/2012,287.924988,29/06/2012,215.899994,2012-06-29,174.189499,29/06/2012,563.549988
29/06/2012,296.149994,02/07/2012,218.195007,2012-07-02,176.513168,02/07/2012,573.950012
02/07/2012,299.424988,03/07/2012,218.735001,2012-07-03,179.042618,03/07/2012,575.849976
03/07/2012,301.274994,04/07/2012,222.479996,2012-07-04,178.588181,04/07/2012,578
04/07/2012,298.174988,05/07/2012,223.345001,2012-07-05,179.034058,05/07/2012,584.099976
05/07/2012,300.25,06/07/2012,222.264999,2012-07-06,177.919388,06/07/2012,581.5
06/07/2012,301.375,09/07/2012,220.945007,2012-07-09,177.636414,09/07/2012,578.150024
09/07/2012,298.274994,10/07/2012,222.899994,2012-07-10,184.401642,10/07/2012,588.650024
10/07/2012,299.575012,11/07/2012,221.869995,2012-07-11,182.926849,11/07/2012,587
11/07/2012,303.575012,12/07/2012,222.119995,2012-07-12,179.685715,12/07/2012,580.099976
12/07/2012,301.975006,13/07/2012,217.845001,2012-07-13,177.439224,13/07/2012,587.049988
13/07/2012,301.399994,16/07/2012,219.945007,2012-07-16,179.428467,16/07/2012,582.650024
16/07/2012,297.399994,17/07/2012,219.910004,2012-07-17,175.569977,17/07/2012,583.25
17/07/2012,296.575012,18/07/2012,218.550003,2012-07-18,178.048004,18/07/2012,587
18/07/2012,297.100006,19/07/2012,215.809998,2012-07-19,181.271988,19/07/2012,589.400024
19/07/2012,290,20/07/2012,213.199997,2012-07-20,178.485291,20/07/2012,582.599976
20/07/2012,281.524994,23/07/2012,209.315002,2012-07-23,176.213074,23/07/2012,573
23/07/2012,275.825012,24/07/2012,209.5,2012-07-24,178.57962,24/07/2012,574.049988
24/07/2012,272.125,25/07/2012,207.035004,2012-07-25,176.410294,25/07/2012,576.049988
25/07/2012,269.350006,26/07/2012,201.740005,2012-07-26,171.865829,26/07/2012,565.799988
26/07/2012,270.700012,27/07/2012,194.100006,2012-07-27,170.999817,27/07/2012,584.599976
27/07/2012,264.774994,30/07/2012,203.175003,2012-07-30,178.408127,30/07/2012,587.25
30/07/2012,268.274994,31/07/2012,200.509995,2012-07-31,179.059784,31/07/2012,587.75
31/07/2012,267.875,01/08/2012,203.339996,2012-08-01,179.377045,01/08/2012,586.5
01/08/2012,277.475006,02/08/2012,201.134995,2012-08-02,181.520645,02/08/2012,582.5
02/08/2012,277.475006,03/08/2012,200.535004,2012-08-03,178.536728,03/08/2012,588.200012
03/08/2012,273.549988,06/08/2012,201.824997,2012-08-06,182.395218,06/08/2012,600.25
06/08/2012,280.600006,07/08/2012,206.125,2012-08-07,187.145462,07/08/2012,600.099976
07/08/2012,280.774994,08/08/2012,206.080002,2012-08-08,188.071503,08/08/2012,598.900024
08/08/2012,282.450012,09/08/2012,196.875,2012-08-09,186.442368,09/08/2012,604.650024
09/08/2012,282.924988,10/08/2012,188.774994,2012-08-10,183.492767,10/08/2012,602.150024
10/08/2012,290.25,13/08/2012,190.654999,2012-08-13,185.353409,13/08/2012,607.450012
13/08/2012,291.850006,14/08/2012,191.035004,2012-08-14,189.872131,14/08/2012,608.150024
14/08/2012,293.075012,16/08/2012,189.445007,2012-08-16,191.029678,16/08/2012,600.049988
16/08/2012,293.024994,17/08/2012,189.705002,2012-08-17,190.386597,17/08/2012,595.099976
17/08/2012,294.875,21/08/2012,191.509995,2012-08-21,190.472336,21/08/2012,596.400024
21/08/2012,294.350006,22/08/2012,191.214996,2012-08-22,190.009338,22/08/2012,596.900024
22/08/2012,296.899994,23/08/2012,191.184998,2012-08-23,187.719925,23/08/2012,597.700012
23/08/2012,295.375,24/08/2012,189.384995,2012-08-24,184.427368,24/08/2012,596.299988
24/08/2012,292.475006,27/08/2012,184.449997,2012-08-27,178.193787,27/08/2012,594.349976
27/08/2012,287.450012,28/08/2012,184.419998,2012-08-28,174.446732,28/08/2012,589.349976
28/08/2012,288.225006,29/08/2012,182.990005,2012-08-29,174.652527,29/08/2012,588.549988
29/08/2012,290.25,30/08/2012,183.970001,2012-08-30,173.760773,30/08/2012,595.900024
30/08/2012,296.274994,31/08/2012,183.735001,2012-08-31,170.082352,31/08/2012,595.349976
31/08/2012,287.049988,03/09/2012,185.070007,2012-09-03,167.647217,03/09/2012,590.450012
03/09/2012,287.375,04/09/2012,187.5,2012-09-04,167.767288,04/09/2012,590.099976
04/09/2012,286.424988,05/09/2012,183.024994,2012-09-05,159.527237,05/09/2012,592.099976
05/09/2012,284.524994,06/09/2012,185.395004,2012-09-06,162.691193,06/09/2012,588.150024
06/09/2012,286.674988,07/09/2012,189.205002,2012-09-07,167.5186,07/09/2012,590.400024
07/09/2012,288.350006,10/09/2012,186.115005,2012-09-10,163.420013,10/09/2012,591.150024
10/09/2012,285.700012,11/09/2012,185.770004,2012-09-11,163.402878,11/09/2012,594.400024
11/09/2012,291.649994,12/09/2012,185.940002,2012-09-12,163.943039,12/09/2012,599.200012
12/09/2012,292.325012,13/09/2012,186.759995,2012-09-13,162.579742,13/09/2012,599.200012
13/09/2012,292.100006,14/09/2012,197.149994,2012-09-14,173.186279,14/09/2012,612.75
14/09/2012,304.674988,17/09/2012,207.955002,2012-09-17,181.349152,17/09/2012,608.299988
17/09/2012,303.125,18/09/2012,214.945007,2012-09-18,184.075821,18/09/2012,605.450012
18/09/2012,299.75,20/09/2012,212.335007,2012-09-20,179.102646,20/09/2012,606.900024
20/09/2012,301.325012,21/09/2012,221.320007,2012-09-21,192.864594,21/09/2012,625.150024
21/09/2012,311.225006,24/09/2012,219.824997,2012-09-24,194.236511,24/09/2012,635
24/09/2012,311.825012,25/09/2012,219.649994,2012-09-25,188.971817,25/09/2012,636.900024
25/09/2012,320.549988,26/09/2012,222.899994,2012-09-26,193.233292,26/09/2012,630.75
26/09/2012,320.475006,27/09/2012,224.725006,2012-09-27,193.576294,27/09/2012,630.799988
27/09/2012,322.325012,28/09/2012,224.059998,2012-09-28,194.810989,28/09/2012,629.150024
28/09/2012,324.375,01/10/2012,227.014999,2012-10-01,193.90213,01/10/2012,622.849976
01/10/2012,322.549988,03/10/2012,229.690002,2012-10-03,190.935349,03/10/2012,619.450012
03/10/2012,319.674988,04/10/2012,234.570007,2012-10-04,195.634155,04/10/2012,631.299988
04/10/2012,319.799988,05/10/2012,233.945007,2012-10-05,196.002838,05/10/2012,622.400024
05/10/2012,319.350006,08/10/2012,226.945007,2012-10-08,193.944977,08/10/2012,620.700012
08/10/2012,313.674988,09/10/2012,228.255005,2012-10-09,193.507675,09/10/2012,625.75
09/10/2012,318.5,10/10/2012,222.354996,2012-10-10,189.803543,10/10/2012,617.950012
10/10/2012,314.325012,11/10/2012,226.714996,2012-10-11,194.41658,11/10/2012,624.849976
11/10/2012,317.049988,12/10/2012,225.175003,2012-10-12,192.015732,12/10/2012,631.150024
12/10/2012,313.475006,15/10/2012,226.445007,2012-10-15,191.912842,15/10/2012,634.150024
15/10/2012,314.399994,16/10/2012,222.884995,2012-10-16,196.508743,16/10/2012,630.400024
16/10/2012,314.450012,17/10/2012,221.470001,2012-10-17,197.889221,17/10/2012,628.099976
17/10/2012,312.774994,18/10/2012,227.820007,2012-10-18,206.18927,18/10/2012,636.200012
18/10/2012,318.75,19/10/2012,225.774994,2012-10-19,206.172119,19/10/2012,628.5
19/10/2012,314.225006,22/10/2012,224.095001,2012-10-22,209.859116,22/10/2012,639
22/10/2012,316.75,23/10/2012,223.470001,2012-10-23,209.601883,23/10/2012,634.099976
23/10/2012,310.350006,25/10/2012,219.934998,2012-10-25,212.311401,25/10/2012,637.349976
25/10/2012,312.850006,29/10/2012,216.770004,2012-10-29,209.516159,29/10/2012,640.599976
29/10/2012,305.049988,30/10/2012,207.429993,2012-10-30,203.162506,30/10/2012,633.650024
30/10/2012,299.325012,31/10/2012,211.024994,2012-10-31,202.802368,31/10/2012,634.200012
31/10/2012,301.875,01/11/2012,211.550003,2012-11-01,207.012405,01/11/2012,628.599976
01/11/2012,306.274994,02/11/2012,215.244995,2012-11-02,208.444351,02/11/2012,630.299988
02/11/2012,306.149994,05/11/2012,214.475006,2012-11-05,208.22998,05/11/2012,635
05/11/2012,312.825012,06/11/2012,217.315002,2012-11-06,209.241776,06/11/2012,639.549988
06/11/2012,313.5,07/11/2012,221.699997,2012-11-07,211.282501,07/11/2012,640.049988
07/11/2012,315,08/11/2012,224.229996,2012-11-08,209.64476,08/11/2012,639
08/11/2012,313.649994,09/11/2012,215.505005,2012-11-09,208.375748,09/11/2012,639.349976
09/11/2012,310.649994,12/11/2012,219.029999,2012-11-12,210.322159,12/11/2012,651.299988
12/11/2012,311.924988,15/11/2012,215.369995,2012-11-15,211.316772,15/11/2012,646.25
15/11/2012,318.600006,16/11/2012,210.845001,2012-11-16,210.287842,16/11/2012,642.25
16/11/2012,311.424988,19/11/2012,209.389999,2012-11-19,208.238556,19/11/2012,646.75
19/11/2012,311.424988,20/11/2012,206.649994,2012-11-20,209.035965,20/11/2012,653.849976
20/11/2012,310.850006,21/11/2012,206.100006,2012-11-21,212.019867,21/11/2012,663.700012
21/11/2012,314.649994,22/11/2012,209.845001,2012-11-22,215.569702,22/11/2012,669.099976
22/11/2012,313.975006,23/11/2012,208.949997,2012-11-23,215.51825,23/11/2012,669.75
23/11/2012,312.174988,26/11/2012,209.190002,2012-11-26,217.070206,26/11/2012,661.900024
26/11/2012,313.674988,27/11/2012,211.514999,2012-11-27,221.228821,27/11/2012,680.5
27/11/2012,317.524994,29/11/2012,213.184998,2012-11-29,224.684311,29/11/2012,699.849976
29/11/2012,325.625,30/11/2012,217.029999,2012-11-30,226.347763,30/11/2012,703.950012
30/11/2012,335.225006,03/12/2012,220.404999,2012-12-03,226.639297,03/12/2012,686.950012
03/12/2012,333.075012,04/12/2012,223.955002,2012-12-04,226.725037,04/12/2012,685.150024
04/12/2012,335.524994,05/12/2012,227.179993,2012-12-05,228.885773,05/12/2012,692.599976
05/12/2012,331.649994,06/12/2012,230.720001,2012-12-06,233.927536,06/12/2012,694.75
06/12/2012,332.649994,07/12/2012,231.619995,2012-12-07,227.865402,07/12/2012,693.099976
07/12/2012,332.024994,10/12/2012,232.024994,2012-12-10,226.853653,10/12/2012,693
10/12/2012,336.799988,11/12/2012,230.880005,2012-12-11,227.290909,11/12/2012,690.849976
11/12/2012,333.5,12/12/2012,229.490005,2012-12-12,227.453842,12/12/2012,693.849976
12/12/2012,330.149994,13/12/2012,226.259995,2012-12-13,227.282349,13/12/2012,691.049988
13/12/2012,326.225006,14/12/2012,232.024994,2012-12-14,231.972565,14/12/2012,688.75
14/12/2012,332.375,17/12/2012,234.429993,2012-12-17,233.061508,17/12/2012,676.5
17/12/2012,330.674988,18/12/2012,237.270004,2012-12-18,232.186951,18/12/2012,675.950012
18/12/2012,331.875,19/12/2012,237.229996,2012-12-19,228.920074,19/12/2012,688
19/12/2012,333.875,20/12/2012,238.125,2012-12-20,226.124832,20/12/2012,683.400024
20/12/2012,331.024994,21/12/2012,233.445007,2012-12-21,226.579254,21/12/2012,676
21/12/2012,324.774994,24/12/2012,233.130005,2012-12-24,230.2491,24/12/2012,676.099976
24/12/2012,323.325012,26/12/2012,237.085007,2012-12-26,231.843964,26/12/2012,680.299988
26/12/2012,324.450012,27/12/2012,238.835007,2012-12-27,233.961838,27/12/2012,680.099976
27/12/2012,324.899994,28/12/2012,237.949997,2012-12-28,233.147293,28/12/2012,677.650024
28/12/2012,325.475006,31/12/2012,238.550003,2012-12-31,232.632797,31/12/2012,678.599976
31/12/2012,325.024994,01/01/2013,242.645004,2013-01-01,233.687469,01/01/2013,684.5
01/01/2013,324.975006,02/01/2013,245.054993,2013-01-02,237.828903,02/01/2013,687.349976
02/01/2013,328.450012,03/01/2013,247.160004,2013-01-03,238.360504,03/01/2013,683.349976
03/01/2013,327.450012,04/01/2013,248.669998,2013-01-04,236.474152,04/01/2013,679.349976
04/01/2013,325.100006,07/01/2013,246.759995,2013-01-07,235.428085,07/01/2013,668.200012
07/01/2013,324.225006,08/01/2013,249.335007,2013-01-08,233.275879,08/01/2013,670.25
08/01/2013,326.375,09/01/2013,252.279999,2013-01-09,231.449524,09/01/2013,667.5
09/01/2013,324.549988,10/01/2013,253.910004,2013-01-10,234.596359,10/01/2013,675.799988
10/01/2013,326.924988,11/01/2013,249.104996,2013-01-11,233.927536,11/01/2013,669.299988
11/01/2013,315,14/01/2013,249.975006,2013-01-14,237.700317,14/01/2013,669.299988
14/01/2013,314.274994,15/01/2013,248.985001,2013-01-15,244.251114,15/01/2013,668.299988
15/01/2013,314.825012,16/01/2013,243.240005,2013-01-16,241.704544,16/01/2013,660.5
16/01/2013,312.299988,17/01/2013,246.985001,2013-01-17,241.181503,17/01/2013,666.799988
17/01/2013,313.950012,18/01/2013,249.205002,2013-01-18,238.034668,18/01/2013,662.849976
18/01/2013,314.875,21/01/2013,249.945007,2013-01-21,237.588837,21/01/2013,658.549988
21/01/2013,315.475006,22/01/2013,246.445007,2013-01-22,238.952118,22/01/2013,653.75
22/01/2013,320.375,23/01/2013,248.039993,2013-01-23,239.809631,23/01/2013,656.599976
23/01/2013,322.524994,24/01/2013,245.914993,2013-01-24,239.449463,24/01/2013,660.299988
24/01/2013,326.524994,25/01/2013,251.369995,2013-01-25,237.726028,25/01/2013,665.049988
25/01/2013,332.600006,28/01/2013,249.154999,2013-01-28,242.304718,28/01/2013,670.349976
28/01/2013,334.024994,29/01/2013,246.244995,2013-01-29,253.022797,29/01/2013,652.450012
29/01/2013,337.350006,30/01/2013,243.610001,2013-01-30,257.447174,30/01/2013,656.650024
30/01/2013,339.399994,31/01/2013,243.800003,2013-01-31,258.115997,31/01/2013,643.049988
31/01/2013,340.174988,01/02/2013,241.235001,2013-02-01,258.887726,01/02/2013,640.150024
01/02/2013,336.149994,04/02/2013,235.259995,2013-02-04,253.408646,04/02/2013,646.900024
04/02/2013,338.350006,05/02/2013,237.149994,2013-02-05,250.227509,05/02/2013,644.150024
05/02/2013,340.225006,06/02/2013,234.869995,2013-02-06,250.390442,06/02/2013,639.5
06/02/2013,347.575012,07/02/2013,232.660004,2013-02-07,250.467575,07/02/2013,641.5
07/02/2013,343.799988,08/02/2013,228.615005,2013-02-08,248.795593,08/02/2013,650.049988
08/02/2013,339.174988,11/02/2013,229.434998,2013-02-11,256.221039,11/02/2013,656.950012
11/02/2013,335.899994,12/02/2013,229.639999,2013-02-12,254.308945,12/02/2013,665.200012
12/02/2013,335.674988,13/02/2013,225.470001,2013-02-13,253.382904,13/02/2013,664.200012
13/02/2013,333.875,14/02/2013,221.574997,2013-02-14,245.623077,14/02/2013,674.799988
14/02/2013,332.700012,15/02/2013,223.345001,2013-02-15,248.538345,15/02/2013,676.75
15/02/2013,335.174988,18/02/2013,226.270004,2013-02-18,245.580215,18/02/2013,676
